SG_UF,NM_MUNICIPIO,CD_TSE,CD_IBGE
GO,APARECIDA DE GOIÂNIA,92274,5201405
RS,SANTA ROSA,88471,4317202
SC,SÃO JOAQUIM,83259,4216503
SP,SÃO PAULO,71072,3550308
PI,MARCOS PARENTE,11193,2206001
MA,MATÕES DO NORTE,7943,2106631
BA,SANTO ANTÔNIO DE JESUS,38733,2928703
SP,RUBINÉIA,69914,3544509
RS,PORTO ALEGRE,88013,4314902
SC,NOVA VENEZA,82279,4211603
BA,SALVADOR,38490,2927408
CE,ITAPIPOCA,14290,2306405
SP,PIRAJU,68772,3538808
SP,TABOÃO DA SERRA,71579,3552809
RN,CAICÓ,16390,2402006
RJ,CARDOSO MOREIRA,58068,3301157
CE,GUARACIABA DO NORTE,14010,2305001
BA,UNA,39497,2932507
MA,ARAGUANÃ,7102,1702158
SC,ANITA GARIBALDI,80195,4201000
BA,MATA DE SÃO JOÃO,37214,2921005
MG,CAMBUÍ,42110,3110608
PI,JACOBINA DO PIAUÍ,10286,2205151
SP,SOCORRO,71439,3552106
BA,UBATÃ,39454,2932309
MA,ZÉ DOCA,9717,2114007
BA,DIAS DÁVILA,30872,2910057
SP,ITAQUAQUECETUBA,65633,3523107
RJ,MACAÉ,58475,3302403
SE,LAGARTO,31690,2803500
SP,SANTO ANTÔNIO DO ARACANGUÁ,61328,3548054
SP,CAMPINAS,62910,3509502
RO,GOVERNADOR JORGE TEIXEIRA,612,1101005
PA,BREVES,4359,1501808
CE,MILAGRES,14672,2308302
SP,CRAVINHOS,63630,3513108
BA,CASA NOVA,34436,2907202
MG,CONTAGEM,43710,3118601
PR,SANTA HELENA,79715,2109809
AL,TAQUARANA,28819,2709103
MA,SÃO JOSÉ DE RIBAMAR,8893,2111201
DF,BRASÍLIA,97012,5300108
GO,RIO VERDE,95710,5218805
SP,PONTAL,69051,3540200
BA,ARACI,33413,2902104
MG,IPATINGA,46256,3131307
SP,CAÇAPAVA,62715,3508504
RO,ROLIM DE MOURA,299,1100288
SC,TREVISO,81345,4218350
MG,UBERABA,54011,3170107
AM,LÁBREA,2518,1302405
BA,ITABUNA,35971,2914802
SP,SÃO JOÃO DA BOA VISTA,70831,3549102
MT,CONFRESA,90280,5103353
RJ,BARRA MANSA,58076,3300407
PA,MARABÁ,4839,1504208
PE,BARREIROS,23272,2601409
SC,LAGES,81833,4209300
RN,MOSSORÓ,17590,2408003
SP,SÃO JOSÉ DO RIO PARDO,70955,3549706
RN,VERA CRUZ,18953,2414803
SP,SOROCABA,71455,3552205
CE,CRATO,13854,2304202
RS,TRÊS COROAS,89370,4321709
SP,IGARAPAVA,65030,3520103
SP,LENÇÓIS PAULISTA,66370,3526803
PR,CANDÓI,74225,4104428
PE,ÁGUAS BELAS,23094,2600500
